"","participant_number","version","family_languages.1","english_first_language","eng_first_language_and_other","eng_not_first_language","age","gender","years_studying_spanish","current_class","university","other_language_study","other_languages","prompt","rating","question_type"
"181",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","outside_engagement",3,"least_affected_questions"
"182",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","spanish_favorite_class",3,"least_affected_questions"
"183",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","worldview",1,"semi_affected_questions"
"184",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","acceptable_mo2lingualism",1,NA
"185",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","learn_2t_abroad",1,NA
"186",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","multilingualism_asset",1,"directly_affected_questions"
"187",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","schools_teach",1,"directly_affected_questions"
"188",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","connect_with_people",1,"directly_affected_questions"
"189",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","future_career",1,"directly_affected_questions"
"190",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","effort",1,"directly_affected_questions"
"191",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","become_bilingual.1",1,NA
"192",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","family_languages",2,NA
"193",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","fun_studying_languages",3,"semi_affected_questions"
"194",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","boring_spanish_class",5,"semi_affected_questions"
"195",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","interesting_spanish_cultures",4,"semi_affected_questions"
"196",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","interesting_studying_languages",4,"semi_affected_questions"
"197",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","difficult_classroom_learning",5,"least_affected_questions"
"198",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","valuable",4,"most_interested_qs"
"199",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","no_accent",4,"most_interested_qs"
"200",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","important_spanish",4,"most_interested_qs"
"201",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","beautiful",4,"semi_affected_questions"
"202",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","codeswitch_rude",5,"most_interested_qs"
"203",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","smarter_two_languages",3,"semi_affected_questions"
"204",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","started_younger",4,"semi_affected_questions"
"205",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","become_bilingual",4,"directly_affected_questions"
"206",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","admire_multilinguals",4,"semi_affected_questions"
"207",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","like_langauges",4,"semi_affected_questions"
"208",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","interest_languages",4,"semi_affected_questions"
"209",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","like_spanish",4,"semi_affected_questions"
"210",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","like_hearing_spanish",4,"semi_affected_questions"
"211",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","communicating_spanish_speakers",4,"semi_affected_questions"
"212",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","excited_spanish_class",3,"least_affected_questions"
"213",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","outside_engagement",4,"least_affected_questions"
"214",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","spanish_favorite_class",3,"least_affected_questions"
"215",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","worldview",3,"semi_affected_questions"
"216",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","acceptable_mo2lingualism",2,NA
"217",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","learn_2t_abroad",3,NA
"218",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","multilingualism_asset",1,"directly_affected_questions"
"219",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","schools_teach",1,"directly_affected_questions"
